StoreNumber,ds,y,dayOfTheYear,3HourBucket,GrossSoldQuantity,Cash/Credit Site,EBT Site,Loyalty Site,ExtraMile Site,CoBrand,Alcohol,Carwash,Food Service,City,State
1000,2015-01-01 08:00:00 ,3,1,1,3,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-01 11:00:00 ,5,1,2,5,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-01 14:00:00 ,6,1,3,6,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-01 17:00:00 ,3,1,4,3,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-02 08:00:00 ,13,2,1,13,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-02 11:00:00 ,31,2,2,31,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-02 14:00:00 ,63,2,3,63,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-02 17:00:00 ,47,2,4,47,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-03 08:00:00 ,10,3,1,10,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-03 11:00:00 ,27,3,2,27,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-03 14:00:00 ,48,3,3,48,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-03 17:00:00 ,35,3,4,35,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-04 08:00:00 ,7,4,1,7,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-04 11:00:00 ,49,4,2,49,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-04 14:00:00 ,71,4,3,71,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-04 17:00:00 ,25,4,4,25,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-05 08:00:00 ,7,5,1,7,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
1000,2015-01-05 11:00:00 ,5,5,2,5,FALSE,TRUE,TRUE,TRUE,No,TRUE,FALSE,TRUE,HOUSTON,TX
